IndigNation	indignation
MiNET	Minet
WaterWorks	waterworks
LAMM	Lamm
CRISES	Crises
Innovation	INNOVATION
LAMP	Lamp
LAME	Lame
DéCLARAtions	declarations
L.A.M.B.	Lamb
LaMB	Lamb
Meta	ME.TA
DeSutter	Desutter
Off-Ramp	offramp
Isis	ISIS
Iceman	ICEMAN
LaLa	Lala
Friendly	FRIENDLY
Civil	CIVIL
Inspired	INSPIRED
Migs	MIGs
NORMA	Norma
JetSkis	jet-skis
Ambush	AM-Bush
Artillery	ARTILLERY
Tan-tan	Tan-Tan
Assad	ASSAD
Figure	FIGURE
Daimler-Benz	DAIMLER-BENZ
InFamous	infamous
Isle	ISLE
MotorCycle	motorcycle
On/Off	on/off
Citibank	CITIBANK
Glyndebourne	GLYNDEBOURNE
Multi-Racial	MULTIRACIAL
Multiracial	MULTIRACIAL
ReDeSign	re-design
Helsinki	HELSINKI
Chancellor	CHANCELLOR
WOR	w-o-r
Sealand	Sea-Land
REAPER	Reaper
SideKick	Sidekick
ITeM	ITEM
Item	ITEM
C.O.L.O.U.R.S.	Colours
Hassan	HASSAN
MIKEY	Mikey
Newall	NEWALL
Pelican	PELICAN
CLONES	Clones
Lorenzo	LORENZO
PostScript	postscript
Start-Up	start-up
Pratt	PRATT
Revival	REVIVAL
Betty	-Betty
IN-AN	inan
Nightingale	NIGHTINGALE
GoldStar	Goldstar
ACTIVE	ACTive
Active	ACTive
SubUrbia	Suburbia
Fortune	FORTUNE
VIPeR	Viper
KAMINI	Kamini
Self-help	Self-Help
CLEVER	clever
GISSI	Gissi
Sary-Ozek	Saryozek
Nigeria	NIGERIA
Nigèria	NIGERIA
Nigéria	NIGERIA
TEMPEST	Tempest
Different	DIFFERENT
Infra-Red	Infra-red
Helena	HELENA
Shanks	SHANKS
Never-Ending	never-ending
Benon	Ben-On
Lifted	LIFTED
Hanım	Hanim
RoadShow	roadshow
Wiesenthal	WIESENTHAL
Training	TRAINING
Threat	THREAT
Released	RELEASED
MILAN	Milan
Self-esteem	Self-Esteem
Selfesteem	Self-Esteem
TidBITS	tidbits
Beecham	BEECHAM
Chacabuco	CHACABUCO
Pipelines	PipeLines
Barker	BARKER
Executive	EXECUTIVE
Moldavia	MOldavia
Double-Jeopardy	double-jeopardy
One-Step	one-step
Tip-Toes	tiptoes
Chock-A-Block	chockablock
Post-Communism	post-communism
Advocacy	ADVOCACY
Misl	MISL
Miss	MISS
Bethlehem	BETHLEHEM
DisBAND	disband
Mercedes	MERCEDES
Cavendish	CAVENDISH
CLAD	clad
Cliff-Hanger	cliff-hanger
Wrap	WRAP
PANICS	panics
USable	Usable
ESPACE	Espace
FileNet	FILENET
LEED	Leed
C.O.C.A.	coca
Save-On-Foods	Save-on-Foods
EAST	EAst
East	EAst
VisIt	Visit
Minimalism	MINIMALISM
LARGE	large
Aides	AIDES
Czechs	CZECHS
LEAP	Leap
Decision	DECISION
LEAK	Leak
East-West	eastwest
Appointment	APPOINTMENT
AMETEK	Ametek
Daniel	-Daniel
AbOUT	aboUt
About	aboUt
Jeremy	JEREMY
MUSTARD	mustard
Eurorail	EuroRail
Noriega	NORIEGA
E.P.Onymous	Eponymous
Distribution	DISTRIBUTION
COPE	cope
CrossOver	crossover
MegaTech	Megatech
Astra	ASTRA
VITAL	Vital
Jasmina	JASMINA
MIBTel	Mibtel
C-One	cone
IVIg	IVIG
CONS	cons
Ashland	ASHLAND
C.O.M.A.	coma
QUaD	quad
COTS	cots
Clears	CLEARS
Lesser	LESSER
Pirelli	PIRELLI
CoSy	cosy
Mini-Series	miniseries
VoiD	Void
Anti-Aircraft	anti-aircraft
Pro-choice	Pro-Choice
IPSO	ipso
Remember	REMEMBER
C.O.R.E.	core
CORE	core
Co-RE	core
CORD	cord
COGS	cogs
Ivan	IVAN
Iván	IVAN
Easy	EASY
No-One	no-one
COED	coed
KwaZulu	Kwazulu
American	AMERICAN
Nairobi	NAIROBI
ColD	cold
COLI	coli
Non-Stop	Nonstop
NonStop	Nonstop
Mortgage-backed	Mortgage-Backed
.com	com-
Taipei	TAIPEI
VistA	Vista
CÓIR	coir
COIN	coin
Xavier	XAVIER
S.P.I.D.E.R.	spider
Jalal-Abad	Jalalabad
HobNob	hobnob
Closer	CLOSER
Closed	CLOSED
Run-Around	runaround
Ease	EASE
East	EAST
Ho-Hum	ho-hum
IOta	iota
Hydro	HYDRO
Anti-Matter	antimatter
Treasury	TREASURY
Baring	BARING
Båring	BARING
Concern	CONCERN
Citroën	CITROEN
LEON	Leon
JUSTICE	Justice
Just-Ice	Justice
Guadeloupe	GUADELOUPE
Gmcsf	GMCSF
LESH	Lesh
Mandela	MANDELA
Cecos	CECOS
Concept	CONCEPT
Cambridge	CAMBRIDGE
LEES	Lees
Washington	WASHINGTON
...Left	Left
Poindexter	POINDEXTER
Exchange	EXCHANGE
Tapley	TAPLEY
Trinidad	-Trinidad
WestLB	WestLb
COcOnuts	Coconuts
Macdougal	MacDougal
IcedTea	iced-tea
Probably	PROBABLY
DesCartes	Descartes
Weißenborn	Weissenborn
Hertz	HERTZ
D.A.V.E.	Dave
H.E.A.R.	Hear
LinkUp	link-up
MLPS	MLPs
H.E.A.T	Heat
Ninety-Three	Ninety-three
County	COUNTY
Rhode	RHODE
Claire	CLAIRE
Environment	ENVIRONMENT
Hyundai	HYUNDAI
Istanbul	ISTANBUL
Press	PRESS
TANGO	tango
Modec	Mode-C
CORDS	cords
PROWLER	prowler
Sector	SECTOR
Fletcher	FLETCHER
C.O.R.E.	core-
CORE	core-
Co-RE	core-
Worries	WORRIES
Scalpers	SCALPERS
Amplicon	AMPLICON
H.E.L.P.	Help
COYOTE	coyote
MidWeek	midweek
AMBER	amber
Bogotá	BOGOTA
POSC	Posc
Cattle	CATTLE
BackOffice	Back-office
Australia	AUSTRALIA
Richmond	RICHMOND
Po-Mo	Pomo
PoMo	Pomo
POMP	Pomp
TriBeCa	TRIBECA
PONY	Pony
Gimme	GIMME
V.I.S.A.	visa
KIOSK	kiosk
Prepaid	Pre-Paid
CHIP	chip
CHIN	chin
CHUM	chum
Catching	CATCHING
AbOUT	-about
Scrambles	SCRAMBLES
LILIES	lilies
STREAMS	Streams
O-Zone	OZONE
Ozone	OZONE
Mellon	MELLON
Mellor	MELLOR
.museum	museum-
CHOP	chop
Check-Out	checkout
CORPS	corps
FoxTrot	foxtrot
TABLEAUX	tableaux
EDtv	EDTV
Editors	EDITORS
Inspector-General	inspector-general
Oxychem	OxyChem
Pop-Up	pop-up
NorthSide	Northside
Careful	CAREFUL
RS300	Rs300
Cablesoft	CableSoft
VICE	vice
Culture	CULTURE
Having	HAVING
PROMIS	Promis
Amherst	AMHERST
Block	BLOCK
Accused	ACCUSED
EPICS	epics
Snowbelt	Snow-Belt
POLS	Pols
DADA	Dada
DaDa	Dada
Pizza	PIZZA
POLE	Pole
POLK	Polk
POLL	Poll
Blood	BLOOD
Lafleur	LaFleur
Bloop	BLOOP
CHAP	chap
T.H.U.G.S.	Thugs
Giles	GILES
S.C.Y.T.H.E.	scythe
POGO	Pogo
DACS	DACs
ReGIS	regis
IJmuiden	Ijmuiden
Secure	SECURE
PROMPT	Prompt
Chepstow	CHEPSTOW
DALI	Dali
HEYL	Heyl
DAMA	Dama
Passenger	PASSENGER
Commission	COMMISSION
BEL20	BEl-20
MECCA	Mecca
LUCKY	lucky
Seoul	SEOUL
Seoul.	SEOUL
Jersey	JERSEY
SOCRATES	Socrates
Dana	DANA
AbOUT	about
H.E.R.O.	Hero
He-Ro	Hero
Daka	DAKA
Dáka	DAKA
H.E.R.R.	Herr
SONIA	Sonia
ACCORD	Accord
Echo	ECHO
HESH	Hesh
DATA	Data
Dart	DART
Dare	DARE
Darè	DARE
Rahman	RAHMAN
X-PLOR	Xplor
Claims	CLAIMS
ICE-T	Ice-T
DAMS	Dams
Dasa	DASA
Dasà	DASA
Parking	PARKING
Date	DATE
.data	DATA
Data	DATA
Intertribal	Inter-Tribal
Pittencrieff	PITTENCRIEFF
Crash-Landing	crash-landing
Staveley	STAVELEY
Leading	LEADING
Ashby	ASHBY
SKI-PP	Skipp
EFAS	EFAs
Engineering	ENGINEERING
TALLY	tally
Dawn	DAWN
Hic	Hi-C
Trafalgar	TRAFALGAR
STREAMS	streams
Doulton	DOULTON
Baßoon	bassoon
Benetton	BENETTON
Britain	BRITAIN
Dede	DeDe
Dedê	DeDe
ASYCUDA	Asycuda
Rice	R-I-C-E
Coupon	COUPON
Mercedes-Benz	MERCEDES-BENZ
NARC	narc
Dress-Up	dress-up
Heavyweight	HEAVYWEIGHT
Iita	IITA
Whatever	WHATEVER
S.W.O.R.D	Sword
S.W.O.R.D.	Sword
Fitzpatrick	FitzPatrick
FUSCO	Fusco
Dbms	DBMS
F.O.R.C.E.	Force
Multi-Racial	multi-racial
Li-An	Lian
LIAZ	Liaz
LIAT	Liat
LIDS	Lids
Program	PROGRAM
ConStellation	constellation
Wild-Eyed	wild-eyed
L.I.F.E.	Life
Infra-Red	Infrared
Meta	Me.T.A
Gonsalves	GONSALVES
SOKOL	Sokol
O-Zone	Ozone
OZONE	Ozone
NAGS	nags
Caso	CaSO
INCredible	incredible
LiMo	Limo
Waddington	WADDINGTON
Walk-in	Walk-In
Make-Up	make-up
LIPS	Lips
ENIGMA	Enigma
Sheffield	SHEFFIELD
Elizabeth	ELIZABETH
ASICS	ASICs
Sedgwick	SEDGWICK
CREST	Crest
Tuesday	TUESDAY
LINC	Linc
W.A.I.S.T.	waist
WAITS	waits
Tiger	TIGER
Stendhal	STENDHAL
Saracen	SARACEN
SLIME	slime
Image	IMAGE
S-LINK	slink
PrimeTime	Primetime
CAFÉ	Cafe
Anglian	ANGLIAN
CACI	Caci
DCCS	DCCs
PowerGen	Powergen
Risk/Reward	risk/reward
CABA	Caba
Ability	ABILITY
SOLAS	Solas
Subtle	sub-TLE
Superstation	SuperStation
TIGRS	TIGRs
Clowes	CLOWES
CAP-e	Cape
Exports	EXPORTS
Answers	ANSWERS
CAPP	Capp
TradeMark	trademark
CAMI	Cami
Economist	ECONOMIST
CALO	Calo
PepsiCo	Pepsico
CANO	Cano
OnStream	onstream
CAMP	Camp
C-A-K-E	Cake
C.R.E.A.M	Cream
C.R.E.A.M.	Cream
CREAM	Cream
CALM	Calm
Couple	COUPLE
Miguel	MIGUEL
Mcclaren	McClaren
P.L.U.C.K.	pluck
Deborah	DEBORAH
CITE	cite
Man-Made	MAnmade
Cinven	CINVen
No-One	No-one
CiS	cis-
End-user	End-User
No-Man	no-man
KIPPERS	kippers
CASA	Casa
CASS	Cass
CAST	Cast
CREIL	Creil
CATH	Cath
SPECIFIC	specific
IIE	IIe-
CAPT	Capt
CARS	Cars
CARO	Caro
CARM	Carm
Veracruz	VERACRUZ
Super-Sonic	supersonic
H.I.V.E.	Hive
HIVE	Hive
Serco	SERCO
Computerware	ComputerWare
Theatre-in-the-round	Theatre-in-the-Round
Retailing	RETAILING
Docklands	DOCKLANDS
Course	COURSE
Fedwire	FEDWIRE
Self-employment	Self-Employment
Ikon	IKON
Ikôn	IKON
Jerome	JEROME
Lovell	LOVELL
Drucker	DRUCKER
H-IPS	Hips
HIPS	Hips
Henry	HENRY
Furman	FURMAN
Kansallis-Osake-Pankki	KANSALLIS-Osake-Pankki
Century	CENTURY
Hi-Lo	Hilo
LOVA	Lova
Cousin	COUSIN
L-O-V-E	Love
LÖVE	Love
Anti-Monopoly	anti-monopoly
North-East	Northeast
.music	MUSIC
Music	MUSIC
Income	INCOME
Miami	MIAMI
Serve	SERVE
CLEVER	Clever
VEST	vest
LORA	Lora
LOUD	Loud
Löw	Low-
COMMUNITY	community
FreezeDried	freeze-dried
LOOK	Look
FastTrack	fasttrack
A-Frame	A-frame
Drilling	DRILLING
MARIACHI	Mariachi
SLATE	slate
Re-Volt	Revolt
LON	Lon-
Non-Format	non-format
LOKI	Loki
Tavist-d	Tavist-D
Asked	ASKED
Deja	DEJA
Déjà	DEJA
DELO	Delo
TreeHouse	Treehouse
JeThRo	Jethro
Mipcom	MIPCOM
PIPES	Pipes
Legally	LEGALLY
Cinven	CinVen
Dell	DELL
Deng	DENG
VINES	vines
DEEP	Deep
Muhammad	MUHAMMAD
Noncatholics	Non-Catholics
MacBrayne	Macbrayne
Mrca	MRCA
Deal	DEAL
Pride	PRIDE
SunBurn	sunburn
Price	PRICE
DEAL	Deal
D.E.A.D.	Dead
Sod	S-O-D
G-String	G-string
DEBS	Debs
Leadership	LEADERSHIP
Quiz	QUIZ
Égat	EGAT
Lay-Away	layaway
Quit	QUIT
Elsevier	ELSEVIER
Deep	DEEP
Deer	DEER
Legislation	LEGISLATION
Pseudo-Science	pseudo-science
Pist.On	Piston
Debt	DEBT
Millipore	MILLIPORE
Venice	VENICE
Tap-Tap	tap-tap
Prime	PRIME
JUICE	juice
Summer	SUMMER
Shanghai	SHANGHAI
Shànghai	SHANGHAI
Buchanan	BUCHANAN
After.Life	after-life
AfterLife	after-life
Special	SPECIAL
Lloyds	LLOYDS
Birmingham	BIRMINGHAM
Sa14	SA-14
Passionate	PASSIONATE
NedCar	Nedcar
Myrtle	MYRTLE
Prior	PRIOR
C-Tec	C-TEC
Slippage	SLIPPAGE
Commitments	COMMITMENTS
DeuS	Deus
Inter-American	Interamerican
MARIACHI	mariachi
Vandenberg	VanDenBerg
DERA	Dera
Pennsylvania	PENNSYLVANIA
Prize	PRIZE
Ossory	OSSORY
Feynman	FEYNMAN
LINCOLN	Lincoln
Matter	MATTER
DEMs	Dems
DEMO	Demo
Professional	PROFESSIONAL
InterCity	Inter-city
REFER	refer
Latourette	LaTourette
W.A.R.P.E.D.	warped
EFFIE	Effie
Clarins	CLARINS
PROP	Prop
PROM	Prom
Moca	MOCA
Ducharme	DuCharme
Inquiry	INQUIRY
Topping	TOPPING
Paternity	PATERNITY
Antisemitism	anti-Semitism
FINANCIAL	Financial
Hang-Ups	hangups
Imra	IMRA
PREP	Prep
Imre	IMRE
NY-LON	nylon
Ryzhkov	RYZHKOV
Baraka	BARAKA
Retraining	RETRAINING
Stretch	STRETCH
Atreus	ATREUS
Atreús	ATREUS
MacLeod	Macleod
Legislature	LEgislature
Louisiana	LOUISIANA
Re-Mission	remission
Mors	MORS
Mörs	MORS
More	MORE
Moré	MORE
Möre	MORE
Mori	MORI
D-I-V-O-R-C-E	divorce
D.I.V.O.R.C.E.	divorce
Northwest	NorthWest
Up-Hill	uphill
Most	MOST
DIDO	Dido
Intermedia	InterMedia
D.I.C.E.	Dice
M.o.v.e	MOVE
Move	MOVE
Möve	MOVE
Tow-Line	towline
Half-Way	Half-way
Mnet	MNet
Cemex	CEMEX
Longford	LONGFORD
Kimberly-Clark	KIMBERLY-CLARK
Shape-Up	shape-up
INDEPTH	in-depth
RADARSAT	Radarsat
Re-Bound	rebound
Moma	MOMA
Tunstall	TUNSTALL
Sorema	SOREMA
Moog	MOOG
D.I.V.O.R.C.E.	D-I-V-O-R-C-E
Divorce	D-I-V-O-R-C-E
DeKalb	Dekalb
Mood	MOOD
Carol	CArol
Imes	IMES
Lancaster	LANCASTER
MoNA	MONA
Mona	MONA
FrontRunner	Front-runner
M.I.A.M.I.	Miami
CELT	Celt
Beattie	BEATTIE
Editing	EDITING
MISTER	Mister
Supreme	SUPREME
Slight	SLIGHT
GOPHER	Gopher
CELA	Cela
Edition	EDITION
OpenSkies	open-skies
Eisa	EISA
Discordant	DISCORDANT
Government	GOVERNMENT
Microcap	MicroCap
ScrapBook	scrapbook
PainkilleR	painkiller
CESS	cess
JetStream	Jetstream
Minister	MInister
NaGISA	Nagisa
Several	SEVERAL
ILiad	Iliad
ILIAS	Ilias
CEES	Cees
VoiceOver	voice-over
Independent	INDEPENDENT
Mature	MATURE
Lindner	LINDNER
CeCe	Cece
CECH	Cech
Savoir-Faire	savoir-faire
Exemption	EXEMPTION
CompuServe	Compuserve
CEAT	Ceat
Pitney	PITNEY
Charisma	CHARISMA
CRISP	Crisp
TEC-9	Tec-9
Wyld	WYLD
Renault	RENAULT
Voestalpine	VOEST-ALPINE
GENDEX	Gendex
Voting	VOTING
Tulip	TULIP
IllWill	ill-will
.local	LOCAL
Local	LOCAL
Man-Made	manmade
Eito	EITO
Jamaica	JAMAICA
Coutts	COUTTS
Bein	Be-In
Triple-X	TRIPLEX
Triplex	TRIPLEX
Delitzsch	DELITZSCH
Poland	POLAND
CERN	Cern
AVERT	Avert
Surro-Gate	surrogate
FilmOn	Filmon
ENOLA	Enola
Monday	MonDay
Procter	PROCTER
Elementary	ELEMENTARY
Transco	TransCo
Ubu	U.B.U
Cftr	CFTR
Raymond	RAYMOND
Virco	VIRCO
HELLS	Hells
Mears	MEARS
Hell-O	Hello
Self-portrait	Self-Portrait
MENT	ment
Horror	HORROR
MENA	mena
ROAM	roam
PILOT	Pilot
MELD	meld
Copying	COPYING
Ski	S-K-I
MESS	mess
NEPTUNE	Neptune
Black	BlacK
Golden	GOLDEN
Helmsley	HELMSLEY
M-pact	MPact
Boveri	BOVERI
Sainsbury	SAINSBURY
Residency	RESIDENCY
See-Saw	seesaw
SkyDiver	Skydiver
Lacoste	LaCoste
Potlatch	POTLATCH
Showbiz	ShowBiz
Weir	WEIR
Revenue	REVENUE
Dudley	DUDLEY
Four-Star	four-star
Virus	VIRUS
ArtRage	Artrage
LIANZA	Lianza
Well	WELL
Well...	WELL
Sat.1	SAT-1
Revlon	REVLON
Lulu	LuLu
CALTECH	CalTech
Until	UNTIL
Until...	UNTIL
HeavyMetal	heavy-metal
Information	INFORMATION
ZZAJ	Zzaj
Were	WERE
West	WEST
Dakota	DAKOTA
Roadrailer	RoadRailer
Weta	WETA
Science-Fiction	science-fiction
ViewPoint	Viewpoint
Verbatim	VERBATIM
VisIt	visit
Bridge-Head	Bridgehead
.museum	MUSEUM
Museum	MUSEUM
TUGboat	Tugboat
Turnaround	Turn-Around
Must	MUST
Beijing	BEIJING
Iraqi	IRAQI
Toronto	TORONTO
TransIT	Transit
Word-perfect	WordPerfect
Probe	PROBE
AZUSA	Azusa
HORDES	Hordes
Mowlem	MOWLEM
Cesc	CESC
Hezb-i-Islami	Hezb-I-Islami
Hezbi-Islami	Hezb-I-Islami
PreussenElektra	Preussenelektra
VEBA	Veba
CHAS	Chas
CHAP	Chap
CHAM	Cham
CALTECH	Caltech
CITES	Cites
VisIt	VISIT
Visit	VISIT
FAREWELL	Farewell
Lanham	LANHAM
Early	EARLY
Fant-Asia	Fantasia
Wardle	WARDLE
JANET	Janet
CHEA	Chea
World	WORLD
Works	WORKS
Shield	SHIELD
VistA	VISTA
Mudd	MUDD
Diff	DIFF
Chfc	ChFC
Second-Hand	second-hand
Branson	BRANSON
Much	MUCH
Dimi	DIMI
CITIC	Citic
Dina	DINA
FidoNet	Fidonet
Ceco	CECO
ATHENA	Athena
Atur	A-Tur
Topsy-Turvy	topsy-turvy
Allround	All-Round
COinS	coins
Emanu-El	Emanuel
CEOs	CEOS
Consul-General	consul-general
VISOR	visor
MusE	MUSE
Muse	MUSE
Williams	WILLIAMS
ACCEPT	Accept
SIMPLE	Simple
SiMPLE	Simple
Imperial	IMPERIAL
Vital	VITAL
CityLine	Cityline
SsangYong	Ssangyong
Disc	DISC
Tourism	TOURISM
VistA	vista
Sixth	SIXTH
Cadbury	CADBURY
ETHANE	ethane
VIPeR	viper
Technical	Techni-Cal
Inflation	INFLATION
Rice	RICE
Rick	RICK
Rich	RICH
Czecho-Slovakia	CZECHOSLOVAKIA
Czechoslovakia	CZECHOSLOVAKIA
Group	GROUP
Asahi	ASAHI
Rico	RICO
Devos	DeVos
SIMMON	Simmon
SKALA	Skala
Z-MODEM	Zmodem
ZMODEM	Zmodem
ChitChat	chit-chat
Tawse	TAWSE
H.E.R.B.I.E.	Herbie
V.A.S.T.	Vast
VAST	Vast
Would	WOULD
VASP	Vasp
VASS	Vass
ESCAPE	Escape
Devry	DeVry
Brussels	BRUSSELS
VOLE	vole
SOLEIL	Soleil
Horton	HORTON
STING	Sting
VoiD	void
Vanadium	VANADIUM
Hoare	HOARE
Haute	HAUTE
Dubai	DUBAI
Firefly	FIREFLY
CIAO	Ciao
Antichrist	anti-Christ
Lipper	LIPPER
CICA	Cica
Entrapment	ENTRAPMENT
Direction	DIRECTION
C-COR	C-Cor
Madonna	MA-donna
Fidelity	FIDELITY
Addiction	ADdiction
JOnAS	Jonas
Risk	RISK
Rise	RISE
Risc	RISC
AGERPRES	Agerpres
Chip	CHIP
TaBOR	Tabor
Ring	RING
Reentry	Re-Entry
Vienna	VIENNA
Pre-raphaelites	Pre-Raphaelites
Preraphaelites	Pre-Raphaelites
Chi-X	Chix
Time-Line	time-line
CHIN	Chin
CHIP	Chip
Comprise	COMPRISE
Riot	RIOT
Bonton	Bon-Ton
National	NAtional
Seacat	SeaCat
CHUY	Chuy
VANS	Vans
CHUR	Chur
FAREWELL	farewell
CHUK	Chuk
Midlands	MIDLANDS
CHUM	Chum
Radnor	RADNOR
CHOP	Chop
CHON	Chon
CHOK	Chok
Olympia	OLYMPIA
Riva	RIVA
Giant	GIANT
OGame	Ogame
Low-Ball	lowball
DEET	deet
DEEP	deep
BETA	Beta
BESS	Bess
BETT	Bett
ENRICH	Enrich
DEAL	deal
D.E.A.D.	dead
Shearman	SHEARMAN
DEMO	demo
Week	WEEK
K-Line	Kline
METEOR	Meteor
METeOR	Meteor
CAPTOR	captor
NewsRoom	Newsroom
Northeast	North-East
Currency	CURRENCY
Weak	WEAK
ReCharge	Recharge
Euphoria	EUPHORIA
Con-Version	Conversion
All-Pro	all-pro
Vauxhall	VAUXHALL
Teleprompter	TelePrompter
Association	ASSOCIATION
CIPA	Cipa
DeuS	deus
Taxis	TAXIS
London	LONDON
BEEB	Beeb
CINE	Cine
Printer	PRINTER
PerForm	Perform
Pre.shrunk	pre-shrunk
Edmund	EDMUND
Pari-Mutuel	pari-mutuel
Brain-Washing	brainwashing
Be-In	Bein
Growing	GROWING
SATCOM	Satcom
ComputerLand	Computerland
Finding	FINDING
I-CON	icon
GrimE	Grime
Adjacent	ADJACENT
StrataCom	Stratacom
Severance	SEVERANCE
Stock	STOCK
Albany	ALBANY
KTEL	K-tel
ShadowLine	shadowline
Midcap	MidCap
AirPort	AIRPORT
Airport	AIRPORT
Untrue	UNTRUE
BERT	Bert
Rent-a-Car	rent-a-car
CITE	Cite
CISC	Cisc
CIRA	Cira
D.I.G.I.T.A.L.	Digital
DIGITAL	Digital
Doctor	DOCTOR
MATRIX	Matrix
RoPS	ROPS
HART	Hart
HARM	Harm
Icta	ICTA
Mecham	MECHAM
M.A.D.E.	made
PURPLE	purple
Rose	ROSE
Rosé	ROSE
H.A.T.E.	Hate
Renown	RENOWN
Pelton	PELTON
Ross	ROSS
Comedy	COMEDY
BIDS	Bids
MAKO	mako
Gripe	GRIPE
HAVA	Hava
BICE	Bice
STRING	String
MAKE	make
Apac	A-PAC
Agriculture	AGRICULTURE
BIFF	Biff
